"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IPB","Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate","27.75","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ipb",
"MXC","Mexco Energy Corporation","4.5","$9.18M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mxc",
"CCA","MFS California Insured Municipal Trust","12.85","$35.8M","1999","n/a","n/a","https://www.nasdaq.com/symbol/cca",
"MICR","Micron Solutions, Inc.","2.25","$6.49M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/micr",
"MLSS","Milestone Scientific, Inc.","0.7494","$35.59M","2015","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/mlss",
"MRIC","MRI Interventions, Inc.","4.395","$61.52M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mric",
"MYO","Myomo Inc.","0.75","$12.85M","2017","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/myo",
"NNVC","NanoViricides, Inc.","0.228","$17.53M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/nnvc",
"ATEST","NASDAQ TEST STOCK","25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest",
"ATEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest.a",
"ATEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest.b",
"ATEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest.c",
"NHC","National HealthCare Corporation","81.93","$1.26B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/nhc",
"NAVB","Navidea Biopharmaceuticals, Inc.","0.6651","$12.01M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/navb",
"NTIP","Network-1 Technologies, Inc.","2.34","$56.53M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/ntip",
"NBW","Neuberger Berman California Municipal Fund Inc","14.17","$78.66M","2002","n/a","n/a","https://www.nasdaq.com/symbol/nbw",
"NHS","Neuberger Berman High Yield Strategies Fund","11.92","$232.92M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nhs",
"NML","Neuberger Berman MLP and Energy Income Fund Inc.","7.19","$407.38M","2013","n/a","n/a","https://www.nasdaq.com/symbol/nml",
"NBH","Neuberger Berman Municipal Fund Inc.","15.15","$284.88M","2002","n/a","n/a","https://www.nasdaq.com/symbol/nbh",
"NBO","Neuberger Berman New York Municipal Fund Inc.","12.3","$62.45M","2002","n/a","n/a","https://www.nasdaq.com/symbol/nbo",
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","5.54","$262.7M","2003","n/a","n/a","https://www.nasdaq.com/symbol/nro",
"GBR","New Concept Energy, Inc","1.57","$8.06M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gbr",
"NEN","New England Realty Associates Limited Partnership","59.64","$218.86M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/nen",
"NGD","New Gold Inc.","1.18","$793.98M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ngd",
"NXE","Nexgen Energy Ltd.","1.3616","$484.41M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nxe",
"NAK","Northern Dynasty Minerals, Ltd.","0.63","$239.27M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","2.18","$868.85M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","0.46","$9.66M","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/nby",
"NG","Novagold Resources Inc.","6.48","$2.11B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ng",
"NRCG","NRC Group Holdings Corp.","12.35","$469.92M","2017","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/nrcg",
"NRCG.WS","NRC Group Holdings Corp.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nrcg.ws",
"NTN","NTN Buzztime, Inc.","2.23","$6.43M","n/a","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/ntn",
"NES","Nuverra Environmental Solutions, Inc.","4","$62.84M","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/nes",
"OCX","OncoCyte Corporation","1.66","$86.27M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/ocx",
"OGEN","Oragenics Inc.","0.53","$24.45M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ogen",
"PCG^A","Pacific Gas & Electric Co.","26","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","23.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","22","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","22","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","22","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","20.9044","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","19.4","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","18.59","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^i",
"PTN","Palatin Technologies, Inc.","1.01","$217.71M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ptn",
"PZG","Paramount Gold Nevada Corp.","0.8297","$22M","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/pzg",
"PRK","Park National Corporation","96.28","$1.58B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/prk",
"PED","Pedevco Corp.","1.57","$84.59M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ped",
"PFNX","Pfenex Inc.","9.01","$284.69M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/pfnx",
"HNW","Pioneer Diversified High Income Trust","14.5","$120.83M","2007","n/a","n/a","https://www.nasdaq.com/symbol/hnw",
"PLAG","Planet Green Holdings Corp","3.41","$26.86M","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/plag",
"PLG","Platinum Group Metals Ltd.","1.7","$99.58M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/plg",
"PLYM","Plymouth Industrial REIT, Inc.","18.59","$162.75M","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/plym",
"PLYM^A","Plymouth Industrial REIT, Inc.","27","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/plym^a",
"PLM","Polymet Mining Corp.","0.3475","$349.28M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/plm",
"PW","Power REIT","9.4801","$17.76M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/pw",
"PW^A","Power REIT","26.2104","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pw^a",
"PLX","Protalix BioTherapeutics, Inc.","0.2253","$33.43M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/plx",
"RLGT","Radiant Logistics, Inc.","5.57","$276.12M","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rlgt",
"RFL","Rafael Holdings, Inc.","19.54","$308.33M","2018","Finance","Real Estate","https://www.nasdaq.com/symbol/rfl",
"UTG","Reaves Utility Income Fund","36.64","$1.78B","2004","n/a","n/a","https://www.nasdaq.com/symbol/utg",
"RHE","Regional Health Properties, Inc.","1.808","$3.05M","2017","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/rhe",
"RHE^A","Regional Health Properties, Inc.","5.55","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rhe^a",
"RCG","RENN Fund, Inc.","1.65","$9.82M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rcg",
"RVP","Retractable Technologies, Inc.","0.87","$28.43M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/rvp",
"REI","Ring Energy, Inc.","1.66","$112.57M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rei",
"RIF","RMR Real Estate Income Fund","19.57","$199.65M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rif",
"SACH","Sachem Capital Corp.","4.75","$103.88M","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/sach",
"SCCB","Sachem Capital Corp.","26.32","n/a","2019","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/sccb",
"SNMP","Sanchez Midstream Partners LP","0.4114","$8.26M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/snmp",
"SAND          ","Sandstorm Gold Ltd","5.63","$1B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sand",
"SEB","Seaboard Corporation","4350.06","$5.07B","1996","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/seb",
"SENS","Senseonics Holdings, Inc.","1.15","$233.64M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/sens",
"SVT","Servotronics, Inc.","10.395","$25.88M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/svt",
"SMTS","Sierra Metals Inc.","1.27","$206.87M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/smts",
"SIF","SIFCO Industries, Inc.","2.88","$16.51M","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/sif",
"SVM","Silvercorp Metals Inc.","4.09","$695.35M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/svm",
"SILV","SilverCrest Metals Inc.","5.48","$502.31M","2018","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/silv",
"XPL","Solitario Zinc Corp.","0.2905","$16.89M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/xpl",
"SCE^B","Southern California Edison Company","21.645","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","21.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","21.399","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","24.2695","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sce^e",
"SGB","Southwest Georgia Financial Corporation","20","$50.92M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/sgb",
"LOV","Spark Networks, Inc.","6.84","$88.84M","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/lov",
"SRCI","SRC Energy Inc.","5.09","$1.24B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/srci",
"SDI","Standard Diversified Inc.","12.65","$212.99M","n/a","Consumer Non-Durables","Tobacco","https://www.nasdaq.com/symbol/sdi",
"STXS","Stereotaxis, Inc.","3.48","$206.79M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/stxs",
"SSY","SunLink Health Systems, Inc.","1.38","$9.64M","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/ssy",
"SDPI","Superior Drilling Products, Inc.","0.81","$20.33M","2014","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/sdpi",
"SYN","Synthetic Biologics, Inc","0.495","$8.32M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/syn",
"TKAT","Takung Art Co., Ltd.","0.4599","$5.18M","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/tkat",
"TALO.WS","Talos Energy, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/talo.ws",
"TRX","Tanzanian Gold Corporation","0.797","$118.58M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.4171","$102.69M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tgb",
"TGC","Tengasco, Inc.","0.6922","$7.37M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","17.99","$96.59M","2004","n/a","n/a","https://www.nasdaq.com/symbol/glu",
"GLU^A","The Gabelli Global Utility and Income Trust","46.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/glu^a",
"GLU^B","The Gabelli Global Utility and Income Trust","52.7","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/glu^b",
"GGO","The Gabelli Go Anywhere Trust","14.7","$23.71M","2016","n/a","n/a","https://www.nasdaq.com/symbol/ggo",
"GGO^A","The Gabelli Go Anywhere Trust","42.7227","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ggo^a",
"TDW.WS","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tdw.ws",
"TMP","Tompkins Financial Corporation","81.01","$1.22B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/tmp",
"TAT","Transatlantic Petroleum Ltd","0.67","$36.88M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/tat",
"TRXC","TransEnterix, Inc.","0.6467","$140.81M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/trxc",
"TMQ","Trilogy Metals Inc.","1.63","$226.12M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tmq",
"TPHS","Trinity Place Holdings Inc.","3.78","$120.6M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/tphs",
"TRT","Trio-Tech International","3.35","$12.3M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/trt",
"UFAB","Unique Fabricating, Inc.","2.66","$26.01M","2015","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/ufab",
"UAMY","United States Antimony Corporation","0.6124","$42.11M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/uamy",
"UUU","Universal Security Instruments, Inc.","0.97","$2.24M","n/a","Technology","Electronic Components","https://www.nasdaq.com/symbol/uuu",
"URG","Ur Energy Inc","0.6077","$97.2M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","0.9701","$175.28M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/uec",
"VHC","VirnetX Holding Corp","5.72","$394.37M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/vhc",
"VGZ","Vista Gold Corporation","0.889","$89.38M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vgz",
"VNRX","VolitionRX Limited","3.79","$155.73M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/vnrx",
"VOLT","Volt Information Sciences, Inc.","3.06","$64.91M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/volt",
"EAD","Wells Fargo Income Opportunities Fund","8.2","$517.22M","2003","n/a","n/a","https://www.nasdaq.com/symbol/ead",
"ERC","Wells Fargo Multi-Sector Income Fund","12.37","$379.96M","2003","n/a","n/a","https://www.nasdaq.com/symbol/erc",
"ERH","Wells Fargo Utilities and High Income Fund","13.3","$123.12M","2004","n/a","n/a","https://www.nasdaq.com/symbol/erh",
"WRN","Western Copper and Gold Corporation","0.6824","$73.42M","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wrn",
"WYY","WidePoint Corporation","0.33","$27.98M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/wyy",
"WTT","Wireless Telecom Group,  Inc.","1.4103","$30.04M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/wtt",
"XTNT","Xtant Medical Holdings, Inc.","2.74","$36.06M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xtnt",
"YUMA","Yuma Energy, Inc.","1.82","$2.82M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/yuma",
"ZDGE","Zedge, Inc.","1.64","$16.99M","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/zdge",
"ZOM","Zomedica Pharmaceuticals Corp.","0.3793","$40.98M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zom",
